userCardNo,real_collection_date,category,img_url
5PJTZX7B,2025.8.15,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250816004700_1efbac6bfe1c4014857abf34246aa311.jpeg
XMLHFOZQ,2025.8.31,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250901071007_dad693640b3949b495135d1456237c46.jpeg
5PJTZX7B,2025.9.1,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250902053505_9a24c4a3c10949e4abef2aa79275472a.jpeg
3ZJHQZX1,2025.9.1,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250902063406_23d216210da44fe0b7ba600ac4488e77.jpeg
5PJTZX7B,2025.9.12,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250913071307_7a1dd2a980144f27a048ff7313f6ad8e.jpeg
Y2T4QE83,2025.9.17,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250918111811_9eecf28107d94fdc8af489ad9fad6242.jpeg
7HDMDDBX,2025.9.18,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250919010201_a457924cf37a483db6ef350c455c20ff.jpeg
CF4EXSN3,2025.9.21,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250922035303_e4b4b18a9e884455906715879ce99fb6.jpeg
7HDMDDBX,2025.9.27,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250928145614_2974b308be044842b4a4a094c2fd3ad0.jpeg
7HDMDDBX,2025.9.27,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250928145814_c4397433e2da469a9989a5bae67a94ff.jpeg
76K6BC89,2025.9.28,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250929045204_cbdafa16c7944ccfbdf8ad92fc25a770.jpeg
F3FKSYU9,2025.9.30,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251001054705_5f2ba778be6844c184b74abd3a0a1768.jpeg
MXBK9AFC,2025.10.1,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251002073507_5d93882cc9d5485fb6947e738d51e382.jpeg
IV9F6UUB,2025.10.1,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251002052205_f1efeccb538f45fa85b559b6442e6eaf.jpeg
IXRRIYAJ,2025.10.3,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251004060306_eafe4333ceaf4a15a2cdc9ae6a8c68b2.jpeg
IXRRIYAJ,2025.10.3,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251004060406_d7061bba80794c9da85a5139cf6b9f79.jpeg
BU5VJDRB,2025.10.7,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251008052605_452308ddfdc944bf8a86b0c24cb58c1e.jpeg
BU5VJDRB,2025.10.7,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251008052705_01107932d7dd49b4950817bb22047a5f.jpeg
XBOM2WLP,2025.10.7,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251008093109_22d5ad25b7454a2b80ad0fd9b658a53c.jpeg
XMLHFOZQ,2025.10.8,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251009043604_0a90925130bb47cc993856dd86af3794.jpeg
XMLHFOZQ,2025.10.8,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251009043604_41eb05edd24a46c8bf377507230bb710.jpeg
J8EKVUY9,2025.10.9,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251010081608_221af2591afc438cab9fc885e6eaa81b.jpeg
9SL1YYE4,2025.10.9,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251010092609_7255763a32104fb8afc3922b1d05dcd3.jpeg
IV9F6UUB,2025.10.9,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251010054605_e4ae1567d91040edb7dafabe5bc98e70.jpeg
CF4EXSN3,2025.10.10,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251011072207_e70801c93cd94ecb916c24fc859b990d.jpeg
CF4EXSN3,2025.10.10,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251011085108_a99af7c40e7d43e581e99a8b0813c5af.jpeg
CF4EXSN3,2025.10.10,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251011085108_50e6bfb5b35340f5a46381d3f139cbae.jpeg
CF4EXSN3,2025.10.10,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251011085108_3c31c0dc22f143de88fd31eb24cf1171.jpeg
CF4EXSN3,2025.10.10,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251011085108_067d98b534a3455f861109d305a2b594.jpeg
GSHKANZM,2025.10.11,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251012014001_a0e94f84819043b3a211bd0709e4e387.jpeg
J8EKVUY9,2025.10.11,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251012164816_10709aa759be477d8c1888f1790b3877.jpeg
GK9XEPAK,2025.10.11,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251012035003_cd6855d9d3714e0b805d09d8ce4ca11f.jpeg
Q2O88T5H,2025.10.13,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251014070607_f2e4f6a5ffff496798e8f8d339d540c2.jpeg
FPP9YBNG,2025.10.14,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251015084908_b4ce1dfbd4924daebe9848797e25c6b7.jpeg
2R0JSXFA,2025.10.15,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251016035203_ac7e582f77104ee9bf76832690aab57f.jpeg
Y2T4QE83,2025.10.15,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251016150415_7836db5d3ed24786934687076358944d.jpeg
GK9XEPAK,2025.10.15,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251016092009_b413249d602047869e4606ffede6b351.jpeg
MXBK9AFC,2025.10.17,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251018011301_cf0c9b690e1c4d96b79773038adfc3d9.jpeg
VRSYKL5V,2025.10.17,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251018012101_f90fb63eef2c4302b218c3f6201db68e.jpeg
IXRRIYAJ,2025.10.17,"후드티, 맨투맨티",https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251018080108_c6733cc1d3f14e26a11d79b2a1de037c.jpeg
