userCardNo,real_collection_date,category,img_url
2Y5DSM48,2025.8.6,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250807005200_8301ff36f31d45bcb26eb997830d6a73.jpeg
86BNR2K3,2025.8.6,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250807053105_89d5c5093a9d4651809fe4a9e2ad3aed.jpeg
JC1PB4D0,2025.8.6,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250807052205_4a96293008d347d7b079c3f4a0e61fed.jpeg
8MC89PTD,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808021902_6e68f950c203488d86c84d9f020931c5.jpeg
45WXISEL,2025.8.7,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808061706_eba05a56faf34f06b74a2ef4f20d4e2c.jpeg
UDWOV7M2,2025.8.7,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808031503_68f907af425f4507802d2d5f467084b6.jpeg
UDWOV7M2,2025.8.7,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808031603_63b7e11da6954b338e8c1442751adf13.jpeg
GVWBKFEI,2025.8.7,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808102210_57044fc896f34b2a9be0659803296a63.jpeg
845ETACN,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808130913_0efe46ade01747d28aaca5c4102770e6.jpeg
OP8M1AA3,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808024002_bf5a5c5b2a1c49eb99a545c12cb0f1e5.jpeg
OP8M1AA3,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808024002_20da1163a2f44e58a889f404a6c71c62.jpeg
OP8M1AA3,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808024002_3443c67609054d9f813cd54d4df4ff50.jpeg
OP8M1AA3,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808024002_f9da2a12b67b4a968f66cbb7848d4cd5.jpeg
OP8M1AA3,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808024102_e38e140e914e4b7aa964c6ddf4c6d65a.jpeg
OP8M1AA3,2025.8.7,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250808024102_51b22b91c046417e904065e54ae2106b.jpeg
ASJ4Q5WR,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809023802_914dbcf6f75a4719a6b82da41677b885.jpeg
ASJ4Q5WR,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809023902_5efc132479a4418f950f503485203b8f.jpeg
ASJ4Q5WR,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809023702_49172e8e217245b4a399d43835a8179d.jpeg
76K6BC89,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809014301_327de63076814d3abb5b757d614ba35e.jpeg
76K6BC89,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809014301_61ba20fbb43a4fc08554fdd0878e3d33.jpeg
76K6BC89,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809014301_a152fb596ae64ae7b3ccf1e6f954121c.jpeg
76K6BC89,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809014301_780c77ee33334f35a913f0d6744da90e.jpeg
76K6BC89,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809014201_d5daeda6434c45db9d9f0794a1329a75.jpeg
RNBX7YSD,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809042504_cc75208c35ae490f804d5925e38df5cb.jpeg
XHH0DT03,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809034903_c03dbc1f2c7c4d8f8c48f09314624d1f.jpeg
Y2T4QE83,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809061606_ab36e6659119459396c571109a62afa8.jpeg
Y2T4QE83,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809061706_90af2fdc6585486a8c4ee70fec770ab9.jpeg
Y2T4QE83,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809061806_6bd05094eb44466ba7f67fd6c084f6bf.jpeg
MODQ3GT2,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809024302_ccec1d27305b4505924e5586a611eba9.jpeg
MODQ3GT2,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809024402_59beb2db74c945658d57b96dbc9dd282.jpeg
MODQ3GT2,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809024502_6bbd427be5e84e4bb4681bbc19625427.jpeg
MODQ3GT2,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809024502_d87dcc188404462e842d75041b1ca37f.jpeg
U2DTD8RO,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250809100910_1d941d88eafd4a66a49788506db5428e.jpeg
R5LA935F,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071307_d7bf93d80cb34ccebf48582259d0ff22.jpeg
R5LA935F,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071307_a1603a9f15a94964867c3a4889bbda3b.jpeg
R5LA935F,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071407_1da866748566494ca664760851891c15.jpeg
R5LA935F,2025.8.8,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071507_2a01384603be4774af642b805109fc88.jpeg
R5LA935F,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071207_53b38f0d14f14516ae4811aeca5334ba.jpeg
R5LA935F,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071307_6a148539cf194d01a961ff0bf0a7b341.jpeg
LUUGZBF5,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810001400_0d35727166c343c2b2bfae1aa0c58311.jpeg
